X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16
0.3,0,0.3,0,0.3,0,0.3,0,0.3,2012,0.3,2000,0.3,2025,0.3,1978,0.3,0,0.3,0,0.3,0,0.3,0,0.3,2001,0.3,2001,0.3,2001,0.3,2001
0.31,0,0.31,0,0.31,0,0.31,0,0.31,1999,0.31,1966,0.31,1994,0.31,1998,0.31,0,0.31,0,0.31,0,0.31,0,0.31,2001,0.31,2001,0.31,2001,0.31,2001
0.32,0,0.32,0,0.32,0,0.32,0,0.32,1989,0.32,1945,0.32,1986,0.32,1970,0.32,0,0.32,0,0.32,0,0.32,0,0.32,2001,0.32,2001,0.32,2001,0.32,2001
0.33,0,0.33,0,0.33,0,0.33,0,0.33,1997,0.33,2154,0.33,2026,0.33,1988,0.33,0,0.33,0,0.33,0,0.33,0,0.33,2001,0.33,2001,0.33,2001,0.33,2001
0.34,0,0.34,0,0.34,0,0.34,0,0.34,1992,0.34,1986,0.34,2073,0.34,1964,0.34,0,0.34,0,0.34,0,0.34,0,0.34,2001,0.34,2001,0.34,2001,0.34,2001
0.35,0,0.35,0,0.35,0,0.35,0,0.35,1924,0.35,1990,0.35,1958,0.35,1994,0.35,0,0.35,0,0.35,0,0.35,0,0.35,2001,0.35,2001,0.35,2001,0.35,2001
0.36,0,0.36,0,0.36,0,0.36,0,0.36,1990,0.36,2008,0.36,2055,0.36,1977,0.36,0,0.36,0,0.36,0,0.36,0,0.36,2001,0.36,2001,0.36,2001,0.36,2001
0.37,0,0.37,0,0.37,0,0.37,0,0.37,2032,0.37,2029,0.37,2019,0.37,1985,0.37,0,0.37,0,0.37,0,0.37,0,0.37,2001,0.37,2001,0.37,2001,0.37,2001
0.38,0,0.38,0,0.38,0,0.38,0,0.38,1986,0.38,1992,0.38,2014,0.38,2021,0.38,0,0.38,0,0.38,0,0.38,0,0.38,2001,0.38,2001,0.38,2001,0.38,2001
0.39,0,0.39,0,0.39,0,0.39,0,0.39,1986,0.39,1974,0.39,2019,0.39,2002,0.39,0,0.39,0,0.39,0,0.39,0,0.39,2001,0.39,2001,0.39,2001,0.39,2001
0.4,0,0.4,0,0.4,0,0.4,0,0.4,1978,0.4,2035,0.4,2066,0.4,1949,0.4,0,0.4,0,0.4,0,0.4,0,0.4,2001,0.4,2001,0.4,2001,0.4,2001
0.41,0,0.41,0,0.41,0,0.41,0,0.41,1990,0.41,1987,0.41,2010,0.41,1943,0.41,0,0.41,0,0.41,0,0.41,0,0.41,2001,0.41,2001,0.41,2001,0.41,2001
0.42,0,0.42,0,0.42,0,0.42,0,0.42,1983,0.42,1991,0.42,2000,0.42,2050,0.42,0,0.42,0,0.42,0,0.42,0,0.42,2001,0.42,2001,0.42,2001,0.42,2001
0.43,0,0.43,0,0.43,0,0.43,0,0.43,2024,0.43,1991,0.43,2005,0.43,1982,0.43,0,0.43,0,0.43,0,0.43,0,0.43,2001,0.43,2001,0.43,2001,0.43,2001
0.44,0,0.44,0,0.44,0,0.44,0,0.44,1992,0.44,1974,0.44,1995,0.44,2012,0.44,0,0.44,0,0.44,0,0.44,0,0.44,2001,0.44,2001,0.44,2001,0.44,2001
0.45,0,0.45,0,0.45,0,0.45,0,0.45,1962,0.45,1992,0.45,2116,0.45,2015,0.45,0,0.45,0,0.45,0,0.45,0,0.45,2001,0.45,2001,0.45,2001,0.45,2001
0.46,0,0.46,0,0.46,0,0.46,0,0.46,1990,0.46,2119,0.46,1922,0.46,2008,0.46,0,0.46,0,0.46,0,0.46,0,0.46,2001,0.46,2001,0.46,2001,0.46,2001
0.47,0,0.47,0,0.47,0,0.47,0,0.47,1990,0.47,1978,0.47,1989,0.47,1995,0.47,0,0.47,0,0.47,0,0.47,0,0.47,2001,0.47,2001,0.47,2001,0.47,2001
0.48,0,0.48,0,0.48,0,0.48,0,0.48,1995,0.48,1998,0.48,2002,0.48,1998,0.48,0,0.48,0,0.48,0,0.48,0,0.48,2001,0.48,2001,0.48,2001,0.48,2001
0.49,0,0.49,0,0.49,0,0.49,0,0.49,1991,0.49,2036,0.49,2004,0.49,1973,0.49,0,0.49,0,0.49,0,0.49,0,0.49,2001,0.49,2001,0.49,2001,0.49,2001
0.5,0,0.5,0,0.5,0,0.5,0,0.5,2000,0.5,1999,0.5,1988,0.5,1992,0.5,0,0.5,0,0.5,0,0.5,0,0.5,2001,0.5,2001,0.5,2001,0.5,2001
0.51,0,0.51,0,0.51,0,0.51,0,0.51,2052,0.51,1940,0.51,2015,0.51,1999,0.51,0,0.51,0,0.51,0,0.51,0,0.51,2001,0.51,2001,0.51,2001,0.51,2001
0.52,0,0.52,0,0.52,0,0.52,0,0.52,1997,0.52,1982,0.52,1991,0.52,1990,0.52,0,0.52,0,0.52,0,0.52,0,0.52,2001,0.52,2001,0.52,2001,0.52,2001
0.53,0,0.53,0,0.53,0,0.53,0,0.53,1964,0.53,1990,0.53,2054,0.53,2012,0.53,0,0.53,0,0.53,0,0.53,0,0.53,2001,0.53,2001,0.53,2001,0.53,2001
0.54,0,0.54,0,0.54,0,0.54,0,0.54,2008,0.54,2122,0.54,1996,0.54,2030,0.54,0,0.54,0,0.54,0,0.54,0,0.54,2001,0.54,2001,0.54,2001,0.54,2001
0.55,0,0.55,0,0.55,0,0.55,0,0.55,1993,0.55,2034,0.55,2006,0.55,1982,0.55,0,0.55,0,0.55,0,0.55,0,0.55,2001,0.55,2001,0.55,2001,0.55,2001
0.56,0,0.56,0,0.56,0,0.56,0,0.56,1951,0.56,1983,0.56,1987,0.56,2020,0.56,0,0.56,0,0.56,0,0.56,0,0.56,2001,0.56,2001,0.56,2001,0.56,2001
0.57,0,0.57,0,0.57,0,0.57,0,0.57,1981,0.57,2001,0.57,2003,0.57,2012,0.57,0,0.57,0,0.57,0,0.57,0,0.57,2001,0.57,2001,0.57,2001,0.57,2001
0.58,0,0.58,0,0.58,0,0.58,0,0.58,1976,0.58,2018,0.58,2013,0.58,1954,0.58,0,0.58,0,0.58,0,0.58,0,0.58,2001,0.58,2001,0.58,2001,0.58,2001
0.59,0,0.59,0,0.59,0,0.59,0,0.59,2004,0.59,1980,0.59,1997,0.59,2026,0.59,0,0.59,0,0.59,0,0.59,0,0.59,2001,0.59,2001,0.59,2001,0.59,2001
0.6,0,0.6,0,0.6,0,0.6,0,0.6,1991,0.6,1990,0.6,1980,0.6,2002,0.6,0,0.6,0,0.6,0,0.6,0,0.6,2001,0.6,2001,0.6,2001,0.6,2001
