X1;Y6;Y8;Y16
2,46;1976;1992;2001
2,47;2072;1999;2001
2,48;2010;2072;2001
2,49;2008;1996;2001
2,5;1997;1992;2001
2,51;2017;1993;2001
2,52;2034;1991;2001
2,53;1992;1969;2001
2,54;2063;1985;2001
2,55;2003;2001;2001
2,56;1988;2020;2001
2,57;1992;1974;2001
2,58;2019;1982;2001
2,59;2014;2009;2001
2,6;2008;1992;2001
2,61;1984;1992;2001
2,62;1993;1942;2001
2,63;1978;1945;2001
2,64;2017;2036;2001
2,65;1979;1980;2001
2,66;2048;1956;2001
2,67;2003;1978;2001
2,68;1996;1981;2001
2,69;2031;2097;2001
2,7;2000;1987;2001
2,71;1977;1974;2001
2,72;2003;2003;2001
2,73;2012;2122;2001
2,74;2004;1976;2001
2,75;1980;1963;2001
2,76;2013;2081;2001
2,77;1994;1988;2001
2,78;2004;1993;2001
2,79;2001;1996;2001
2,8;1989;1993;2001
2,81;1988;2016;2001
2,82;1976;2008;2001
2,83;2005;1999;2001
2,84;1984;1989;2001
2,85;2023;1973;2001
2,86;2004;2011;2001
2,87;1997;2001;2001
2,88;2017;1973;2001
2,89;1996;1992;2001
2,9;1958;1976;2001
2,91;2012;1977;2001
2,92;1990;2080;2001
2,93;2000;1974;2001
2,94;2015;1959;2001
2,95;1986;1990;2001
2,96;1988;1991;2001
2,97;1997;1985;2001
2,98;2023;1994;2001
2,99;2029;2011;2001
3;2005;2016;2001
3,01;2014;1985;2001
3,02;1989;2122;2001
3,03;2012;1998;2001
3,04;2047;1999;2001
3,05;1968;1962;2001
3,06;2023;1991;2001
3,07;1999;2000;2001
3,08;2036;1977;2001
3,09;1994;1998;2001
3,1;2004;2112;2001
3,11;1990;1986;2001
3,12;2009;1992;2001
3,13;2001;2008;2001
3,14;1996;2018;2001
3,15;1998;2042;2001
3,16;1997;1984;2001
3,17;1982;1979;2001
3,18;2009;2020;2001
3,19;1998;2007;2001
3,2;1979;1985;2001
3,21;1989;1966;2001
3,22;2004;2000;2001
3,23;1998;1994;2001
3,24;2024;1970;2001
3,25;2010;1967;2001
3,26;1997;1990;2001
3,27;2044;1995;2001
3,28;1986;2053;2001
3,29;1989;1966;2001
3,3;2001;1992;2001
3,31;1998;2009;2001
3,32;2018;1995;2001
3,33;2074;2141;2001
3,34;2011;1992;2001
3,35;1977;2013;2001
3,36;1997;1948;2001
3,37;2010;1990;2001
3,38;1979;1986;2001
3,39;2040;2002;2001
3,4;1998;2000;2001
3,41;2004;2002;2001
3,42;1998;1962;2001
3,43;2010;2017;2001
3,44;2003;2104;2001
3,45;1990;1996;2001
3,46;2186;2000;2001
3,47;2004;1990;2001
3,48;1995;1906;2001
3,49;2071;1985;2001
3,5;2006;1982;2001
3,51;1994;1936;2001
3,52;2002;1988;2001
3,53;2000;1999;2001
3,54;1994;1985;2001
3,55;2000;2048;2001
3,56;1989;2040;2001
3,57;1990;2023;2001
3,58;1987;2012;2001
3,59;1988;2007;2001
3,6;1992;1982;2001
3,61;2057;2023;2001
3,62;1982;1986;2001
3,63;2015;2003;2001
3,64;2038;2013;2001
3,65;1988;1939;2001
3,66;2000;1999;2001
3,67;1964;2052;2001
3,68;1993;2023;2001
3,69;1995;1949;2001
3,7;2002;2084;2001
3,71;1995;2011;2001
3,72;1986;1977;2001
3,73;1992;2152;2001
3,74;1999;1979;2001
3,75;2042;1996;2001
3,76;2025;1968;2001
3,77;2000;1994;2001
3,78;1958;2002;2001
3,79;2122;2020;2001
3,8;1998;2017;2001
3,81;1975;1997;2001
3,82;2019;2011;2001
3,83;1991;2131;2001
3,84;1988;1984;2001
3,85;2000;1969;2001
3,86;2064;2029;2001
3,87;1982;1981;2001
3,88;2011;1984;2001
3,89;2010;1969;2001
